Packet injection rate,Total received packets,Total received flits,Received/Ideal flits ratio,Average wireless utilization,Global average delay (cycles),Max delay (cycles),Network throughput (flits/cycle),Average IP throughput (flits/cycle/IP),Total energy (J),Dynamic energy (J),Static energy (J)
0.086,108662,869322,0.207821,0,40912.2,87185,9.15076,0.142981,9.76386e-05,1.86285e-05,7.901e-05
0.087,108421,867361,0.204968,0,41024.3,87995,9.13012,0.142658,9.76479e-05,1.86378e-05,7.901e-05
0.088,107980,863836,0.201816,0,41135.4,88422,9.09301,0.142078,9.75732e-05,1.85631e-05,7.901e-05
0.089,108490,867902,0.200487,0,41091.2,88067,9.13581,0.142747,9.76163e-05,1.86063e-05,7.901e-05
0.09,109328,874623,0.199795,0,41200.7,87575,9.20656,0.143852,9.77519e-05,1.87418e-05,7.901e-05
0.091,108462,867676,0.19603,0,41492,88672,9.13343,0.14271,9.76063e-05,1.85962e-05,7.901e-05
0.092,107950,863578,0.192983,0,41555.7,88396,9.09029,0.142036,9.7575e-05,1.85649e-05,7.901e-05
0.093,108173,865394,0.19131,0,41663.9,88914,9.10941,0.142335,9.75978e-05,1.85878e-05,7.901e-05
0.094,108510,868075,0.189861,0,41862,87785,9.13763,0.142775,9.76505e-05,1.86405e-05,7.901e-05
0.095,108414,867302,0.187695,0,42053.8,89171,9.12949,0.142648,9.76074e-05,1.85974e-05,7.901e-05
0.096,108233,865899,0.18544,0,41946,88478,9.11473,0.142418,9.76199e-05,1.86099e-05,7.901e-05
0.097,107948,863615,0.183044,0,42275.4,89377,9.09068,0.142042,9.75371e-05,1.85271e-05,7.901e-05
0.098,108025,864174,0.181293,0,42190.7,88481,9.09657,0.142134,9.7556e-05,1.8546e-05,7.901e-05
0.099,107679,861426,0.178891,0,42410.6,89948,9.06764,0.141682,9.75283e-05,1.85183e-05,7.901e-05
0.1,108459,867661,0.178384,0,42223.1,89357,9.13327,0.142707,9.76699e-05,1.86598e-05,7.901e-05
